date,Steps
2020-01-15,18332
2020-01-16,13313
2020-01-17,18574
2020-01-18,12506
2020-01-19,2957
2020-01-20,18593
2020-01-21,25504
2020-01-22,8287
2020-01-23,14637
2020-01-24,22881
2020-01-25,7302
2020-01-26,16268
2020-01-27,6342
2020-01-28,19752
2020-01-29,10508
2020-01-30,8699
2020-01-31,16002
2020-02-01,12402
2020-02-02,3395
2020-02-03,21659
2020-02-04,26662
2020-02-05,6720
2020-02-06,13985
2020-02-07,18769
2020-02-08,13976
2020-02-09,3152
2020-02-10,10659
2020-02-11,14097
2020-02-12,13567
2020-02-13,16373
2020-02-14,15888
2020-02-15,10544
2020-02-16,4916
2020-02-17,12640
2020-02-18,23878
2020-02-19,10398
2020-02-20,18080
2020-02-21,12729
2020-02-22,9492
2020-02-23,3984
2020-02-24,21384
2020-02-25,5134
2020-02-26,9227
2020-02-27,11345
2020-02-28,9765
2020-02-29,9600
2020-03-01,12193
2020-03-02,9084
2020-03-03,9767
2020-03-04,3291
2020-03-05,14451
2020-03-06,12976
2020-03-07,8257
2020-03-08,4489
2020-03-09,7399
2020-03-10,8975
2020-03-11,10028
2020-03-12,20314
2020-03-13,6666
2020-03-14,2981
2020-03-15,2530
2020-03-16,6091
2020-03-17,12140
2020-03-18,6426
2020-03-19,21323
2020-03-20,6534
2020-03-21,7170
2020-03-22,3993
2020-03-23,5294
2020-03-24,8033
2020-03-25,6848
2020-03-26,7757
2020-03-27,6279
2020-03-28,5239
2020-03-29,4676
2020-03-30,1397
2020-03-31,10664
2020-04-01,8395
2020-04-02,3359
2020-04-03,2983
2020-04-04,1564
2020-04-05,1395
2020-04-06,7154
2020-04-07,3054
2020-04-08,4009
2020-04-09,4675
2020-04-10,2629
2020-04-11,2011
2020-04-12,3266
2020-04-13,12367
2020-04-14,13213
2020-04-15,4596
2020-04-16,20924
2020-04-17,3736
2020-04-18,4869
2020-04-19,5601
2020-04-20,1719
2020-04-21,2117
2020-04-22,3403
2020-04-23,13726
2020-04-24,7472
2020-04-25,3420
2020-04-26,5068
2020-04-27,15682
2020-04-28,12539
2020-04-29,17798
2020-04-30,16399
2020-05-01,5224
2020-05-02,4307
2020-05-03,18592
2020-05-04,5209
2020-05-05,4327
2020-05-06,4367
2020-05-07,8077
2020-05-08,9322
2020-05-09,3215
2020-05-10,5204
2020-05-11,11364
2020-05-12,12223
2020-05-13,4369
2020-05-14,5733
2020-05-15,21290
2020-05-16,9162
2020-05-17,3372
2020-05-18,4681
2020-05-19,3567
2020-05-20,3650
2020-05-21,5302
2020-05-22,3791
2020-05-23,8317
2020-05-24,3452
2020-05-25,8718
2020-05-26,14208
2020-05-27,9605
2020-05-28,10233
2020-05-29,22282
2020-05-30,6272
2020-05-31,3104
2020-06-01,10562
2020-06-02,8892
2020-06-03,8805
2020-06-04,4160
2020-06-05,12247
2020-06-06,4792
2020-06-07,2821
2020-06-08,5125
2020-06-09,23124
2020-06-10,7115
2020-06-11,11746
2020-06-12,7552
2020-06-13,3584
2020-06-14,3524
2020-06-15,12628
2020-06-16,5904
2020-06-17,6223
2020-06-18,7802
2020-06-19,11090
2020-06-20,8290
2020-06-21,4293
2020-06-22,2381
2020-06-23,9820
2020-06-24,7013
2020-06-25,11923
2020-06-26,9980
2020-06-27,16054
2020-06-28,10540
2020-06-29,6423
2020-06-30,9233
2020-07-01,7443
2020-07-02,7078
2020-07-03,4803
2020-07-04,7237
2020-07-05,5956
2020-07-06,9033
2020-07-07,3582
2020-07-08,10149
2020-07-09,10750
2020-07-10,3097
2020-07-11,6378
2020-07-12,4930
2020-07-13,14458
2020-07-14,16285
2020-07-15,10999
2020-07-16,11190
2020-07-17,11827
2020-07-18,5525
2020-07-19,18679
2020-07-20,12658
2020-07-21,22471
2020-07-22,13826
2020-07-23,11807
2020-07-24,11223
2020-07-25,7976
2020-07-26,6248
2020-07-27,5375
2020-07-28,4613
2020-07-29,10038
2020-07-30,17088
2020-07-31,7969
2020-08-01,7547
2020-08-02,7866
2020-08-03,7335
2020-08-04,7034
2020-08-05,5535
2020-08-06,5696
2020-08-07,6732
2020-08-08,4701
2020-08-09,3948
2020-08-10,12302
2020-08-11,14172
2020-08-12,18960
2020-08-13,6049
2020-08-14,10813
2020-08-15,4491
2020-08-16,13994
2020-08-17,11403
2020-08-18,10211
2020-08-19,11943
2020-08-20,9102
2020-08-21,13419
2020-08-22,5438
2020-08-23,6594
2020-08-24,13143
2020-08-25,12504
2020-08-26,5081
2020-08-27,5790
2020-08-28,4331
2020-08-29,5750
2020-08-30,5722
2020-08-31,9509
2020-09-01,9923
2020-09-02,5033
2020-09-03,18320
2020-09-04,8748
2020-09-05,4350
2020-09-06,3045
2020-09-07,14406
2020-09-08,11138
2020-09-09,5933
2020-09-10,6257
2020-09-11,7959
2020-09-12,11547
2020-09-13,9221
2020-09-14,15263
2020-09-15,11416
2020-09-16,12618
2020-09-17,9676
2020-09-18,17138
2020-09-19,10868
2020-09-20,4695
2020-09-21,6392
2020-09-22,9367
2020-09-23,12458
2020-09-24,13314
2020-09-25,12694
2020-09-26,4281
2020-09-27,3111
2020-09-28,13362
2020-09-29,12413
2020-09-30,14233
2020-10-01,10896
2020-10-02,16638
2020-10-03,6465
2020-10-04,5585
2020-10-05,8932
2020-10-06,13134
2020-10-07,10594
2020-10-08,14609
2020-10-09,21000
2020-10-10,3223
2020-10-11,4138
2020-10-12,10123
2020-10-13,9780
2020-10-14,9787
2020-10-15,5811
2020-10-16,16469
2020-10-17,6896
2020-10-18,3899
2020-10-19,11346
2020-10-20,19065
2020-10-21,6402
2020-10-22,13826
2020-10-23,11864
2020-10-24,6269
2020-10-25,1728
2020-10-26,7292
2020-10-27,6241
